Year,GDP,Inflation_Rate,Unemployment_Rate,Interest_Rate,Exchange_Rate
2019,8515989,7.44,6.31,4.48,74.26
2016,18160818,6.53,8.1,7.09,61.48
2008,21602881,6.42,6.08,4.49,69.9
2008,21602881,6.42,6.08,4.49,69.9
2008,21602881,6.42,6.08,4.49,69.9
2018,7545583,4.85,7.68,6.66,71.83
2015,13788678,5.12,5.76,5.17,60.28
2005,29666766,5.28,8.5,4.8,70.28
2019,8515989,7.44,6.31,4.48,74.26
2022,10971379,5.82,7.87,4.56,72.09
2007,18346051,7.71,6.94,5.54,60.32
2013,28189071,6.74,6.78,6.35,79.31
2003,3103355,3.92,5.13,6.1,68.64
2002,24300885,3.28,8.05,7.75,60.02
2016,18160818,6.53,8.1,7.09,61.48
2010,17091261,5.6,6.83,4.74,79.39
2011,10281369,5.25,5.77,7.71,74.55
2017,14336697,3.58,9.04,6.49,66.62
2016,18160818,6.53,8.1,7.09,61.48
2002,24300885,3.28,8.05,7.75,60.02
2010,17091261,5.6,6.83,4.74,79.39
2017,14336697,3.58,9.04,6.49,66.62
2003,3103355,3.92,5.13,6.1,68.64
2009,16479854,3.87,5.74,4.73,75.11
2016,18160818,6.53,8.1,7.09,61.48
2006,28019896,3.23,7.25,4.68,61.3
2008,21602881,6.42,6.08,4.49,69.9
2014,26500987,5.71,3.99,7.21,61.49
2017,14336697,3.58,9.04,6.49,66.62
2002,24300885,3.28,8.05,7.75,60.02
2001,29735830,3.29,9.06,6.4,74.16
2010,17091261,5.6,6.83,4.74,79.39
2007,18346051,7.71,6.94,5.54,60.32
2016,18160818,6.53,8.1,7.09,61.48
2018,7545583,4.85,7.68,6.66,71.83
2002,24300885,3.28,8.05,7.75,60.02
2017,14336697,3.58,9.04,6.49,66.62
2021,27335374,3.55,6.08,4.81,77.92
2020,15766976,6.61,4.65,5.02,60.81
2000,26200604,3.92,8.46,6.39,68.92
2010,17091261,5.6,6.83,4.74,79.39
2019,8515989,7.44,6.31,4.48,74.26
2003,3103355,3.92,5.13,6.1,68.64
2003,3103355,3.92,5.13,6.1,68.64
2008,21602881,6.42,6.08,4.49,69.9
2009,16479854,3.87,5.74,4.73,75.11
2014,26500987,5.71,3.99,7.21,61.49
2012,29750222,3.44,4.37,4.18,66.51
2002,24300885,3.28,8.05,7.75,60.02
2002,24300885,3.28,8.05,7.75,60.02
2006,28019896,3.23,7.25,4.68,61.3
2002,24300885,3.28,8.05,7.75,60.02
2010,17091261,5.6,6.83,4.74,79.39
2014,26500987,5.71,3.99,7.21,61.49
2010,17091261,5.6,6.83,4.74,79.39
2020,15766976,6.61,4.65,5.02,60.81
2010,17091261,5.6,6.83,4.74,79.39
2000,26200604,3.92,8.46,6.39,68.92
2013,28189071,6.74,6.78,6.35,79.31
2001,29735830,3.29,9.06,6.4,74.16
2016,18160818,6.53,8.1,7.09,61.48
2021,27335374,3.55,6.08,4.81,77.92
2008,21602881,6.42,6.08,4.49,69.9
2003,3103355,3.92,5.13,6.1,68.64
2004,12305648,5.62,5.8,4.19,79.48
2020,15766976,6.61,4.65,5.02,60.81
2009,16479854,3.87,5.74,4.73,75.11
2010,17091261,5.6,6.83,4.74,79.39
2001,29735830,3.29,9.06,6.4,74.16
2010,17091261,5.6,6.83,4.74,79.39
2016,18160818,6.53,8.1,7.09,61.48
2017,14336697,3.58,9.04,6.49,66.62
2005,29666766,5.28,8.5,4.8,70.28
2019,8515989,7.44,6.31,4.48,74.26
2013,28189071,6.74,6.78,6.35,79.31
2011,10281369,5.25,5.77,7.71,74.55
2017,14336697,3.58,9.04,6.49,66.62
2012,29750222,3.44,4.37,4.18,66.51
2018,7545583,4.85,7.68,6.66,71.83
2016,18160818,6.53,8.1,7.09,61.48
2001,29735830,3.29,9.06,6.4,74.16
2019,8515989,7.44,6.31,4.48,74.26
2010,17091261,5.6,6.83,4.74,79.39
2021,27335374,3.55,6.08,4.81,77.92
2008,21602881,6.42,6.08,4.49,69.9
2022,10971379,5.82,7.87,4.56,72.09
2008,21602881,6.42,6.08,4.49,69.9
2016,18160818,6.53,8.1,7.09,61.48
2004,12305648,5.62,5.8,4.19,79.48
2000,26200604,3.92,8.46,6.39,68.92
2004,12305648,5.62,5.8,4.19,79.48
2007,18346051,7.71,6.94,5.54,60.32
2016,18160818,6.53,8.1,7.09,61.48
2018,7545583,4.85,7.68,6.66,71.83
2021,27335374,3.55,6.08,4.81,77.92
2003,3103355,3.92,5.13,6.1,68.64
2019,8515989,7.44,6.31,4.48,74.26
2011,10281369,5.25,5.77,7.71,74.55
2014,26500987,5.71,3.99,7.21,61.49
2007,18346051,7.71,6.94,5.54,60.32
2018,7545583,4.85,7.68,6.66,71.83
2015,13788678,5.12,5.76,5.17,60.28
2016,18160818,6.53,8.1,7.09,61.48
2004,12305648,5.62,5.8,4.19,79.48
2000,26200604,3.92,8.46,6.39,68.92
2012,29750222,3.44,4.37,4.18,66.51
2010,17091261,5.6,6.83,4.74,79.39
2020,15766976,6.61,4.65,5.02,60.81
2008,21602881,6.42,6.08,4.49,69.9
2002,24300885,3.28,8.05,7.75,60.02
2004,12305648,5.62,5.8,4.19,79.48
2017,14336697,3.58,9.04,6.49,66.62
2006,28019896,3.23,7.25,4.68,61.3
2022,10971379,5.82,7.87,4.56,72.09
2008,21602881,6.42,6.08,4.49,69.9
