Year,Total_Budget,Revenue,Expenditure,Deficit,GDP
2022,2861864,1551083,1310781,133767,15719242
2022,2861864,1551083,1310781,133767,15719242
2010,584654,459172,125482,53810,5428388
2002,2734489,1888674,845815,87498,12628519
2014,756508,395413,361095,35920,7155299
2009,1027035,637372,389663,59150,15648637
2020,1822905,1343767,479138,139643,14002348
2007,1489436,1003513,485923,130608,8743066
2002,2734489,1888674,845815,87498,12628519
2003,778167,430173,347994,67221,10404852
2014,756508,395413,361095,35920,7155299
2022,2861864,1551083,1310781,133767,15719242
2014,756508,395413,361095,35920,7155299
2008,2753882,1761622,992260,149503,16237723
2021,1785160,1269476,515684,48984,13788678
2009,1027035,637372,389663,59150,15648637
2002,2734489,1888674,845815,87498,12628519
2000,2719110,2030710,688400,131932,19094478
2022,2861864,1551083,1310781,133767,15719242
2007,1489436,1003513,485923,130608,8743066
2012,2946609,2139291,807318,270936,6385357
2018,1902107,1214213,687894,55591,6366612
2006,1762752,1066155,696597,85305,8664789
2018,1902107,1214213,687894,55591,6366612
2010,584654,459172,125482,53810,5428388
2017,2084398,1530078,554320,40397,5879190
2014,756508,395413,361095,35920,7155299
2002,2734489,1888674,845815,87498,12628519
2005,2325573,1361827,963746,5311,3103355
2000,2719110,2030710,688400,131932,19094478
2002,2734489,1888674,845815,87498,12628519
2009,1027035,637372,389663,59150,15648637
2010,584654,459172,125482,53810,5428388
2000,2719110,2030710,688400,131932,19094478
2022,2861864,1551083,1310781,133767,15719242
2014,756508,395413,361095,35920,7155299
2018,1902107,1214213,687894,55591,6366612
2005,2325573,1361827,963746,5311,3103355
2021,1785160,1269476,515684,48984,13788678
2021,1785160,1269476,515684,48984,13788678
2000,2719110,2030710,688400,131932,19094478
2002,2734489,1888674,845815,87498,12628519
2004,1287201,965479,321722,62955,7521373
2007,1489436,1003513,485923,130608,8743066
2000,2719110,2030710,688400,131932,19094478
2018,1902107,1214213,687894,55591,6366612
2012,2946609,2139291,807318,270936,6385357
2010,584654,459172,125482,53810,5428388
2014,756508,395413,361095,35920,7155299
2005,2325573,1361827,963746,5311,3103355
2000,2719110,2030710,688400,131932,19094478
2006,1762752,1066155,696597,85305,8664789
2021,1785160,1269476,515684,48984,13788678
